"0500000US06001","Alameda County, California","829369","3969","512128","4760","444577","4521","67551","2537","51006","2267","11597","1001","2957","532","1552","324","439","188","76532","2332","25008","1422","39663","1822","7427","794","1441","281","2993","422","2768","635","1938","263","11090","866","22566","1339","9719","855","192628","3418",
"1400000US06001406201","Census Tract 4062.01; Alameda County; California","2406","458","1531","395","1185","289","346","254","177","109","169","232","0","19","0","19","0","19","413","142","172","100","199","117","0","19","0","19","42","49","37","55","0","19","0","19","70","60","12","18","343","125",
"1400000US06001406202","Census Tract 4062.02; Alameda County; California","2157","354","1240","320","1074","312","166","159","134","133","7","35","25","41","0","14","0","14","370","173","198","130","172","117","0","14","0","14","0","14","10","17","0","14","14","21","180","102","235","201","108","67",
"1400000US06001406300","Census Tract 4063; Alameda County; California","2045","335","1280","256","1096","252","184","119","106","72","67","63","0","14","11","18","0","14","381","160","273","147","90","70","11","18","0","14","7","17","0","14","0","14","17","24","50","48","57","60","260","126",
"1400000US06001406400","Census Tract 4064; Alameda County; California","868","181","558","147","492","131","66","60","56","57","0","14","0","14","10","17","0","14","85","49","26","35","59","36","0","14","0","14","0","14","0","14","4","8","17","21","17","17","0","14","187","61",
"1400000US06001406500","Census Tract 4065; Alameda County; California","3142","478","2265","406","1950","328","315","148","246","115","8","19","0","19","61","79","0","19","346","156","110","84","204","125","32","32","0","19","0","19","33","44","16","19","17","29","0","19","34","55","431","209",
"1400000US06001406601","Census Tract 4066.01; Alameda County; California","2514","318","1570","267","1203","247","367","191","335","190","32","35","0","14","0","14","0","14","291","202","194","178","97","65","0","14","0","14","0","14","0","14","0","14","7","12","45","39","24","39","577","210",
"1400000US06001406602","Census Tract 4066.02; Alameda County; California","1183","253","748","180","605","166","143","63","113","52","20","25","10","15","0","14","0","14","224","135","144","92","68","61","5","7","7","11","0","14","7","10","0","14","0","14","64","40","20","21","120","55",
"1400000US06001406700","Census Tract 4067; Alameda County; California","3259","463","1872","381","1640","398","232","135","71","74","91","68","70","87","0","19","0","19","281","168","172","109","109","92","0","19","0","19","0","19","0","19","0","19","89","93","28","43","6","9","983","310",
"1400000US06001406800","Census Tract 4068; Alameda County; California","1797","221","1065","203","984","208","81","62","64","57","8","14","0","14","9","14","0","14","148","105","15","17","133","105","0","14","0","14","0","14","0","14","12","17","3","12","0","14","0","14","569","159",
"1400000US06001406900","Census Tract 4069; Alameda County; California","2352","456","1114","278","970","240","144","97","134","105","10","15","0","14","0","14","0","14","243","130","127","93","59","67","20","21","0","14","37","56","0","14","0","14","0","14","149","211","11","17","835","213",
"1400000US06001407000","Census Tract 4070; Alameda County; California","3208","550","2064","496","1435","397","629","398","611","397","18","32","0","19","0","19","0","19","375","205","128","106","223","141","0","19","24","41","0","19","0","19","0","19","19","32","84","127","58","91","608","312",
"1400000US06001407101","Census Tract 4071.01; Alameda County; California","1581","338","1276","360","1048","236","228","172","228","172","0","14","0","14","0","14","0","14","63","49","0","14","63","49","0","14","0","14","0","14","0","14","0","14","26","34","36","43","0","14","180","116",
"1400000US06001407102","Census Tract 4071.02; Alameda County; California","1990","355","1153","208","1043","200","110","57","84","51","26","26","0","14","0","14","0","14","393","344","246","309","140","139","7","12","0","14","0","14","0","14","0","14","9","15","8","15","76","113","351","194",
"1400000US06001407200","Census Tract 4072; Alameda County; California","2853","410","1782","337","1663","304","119","83","103","82","10","21","0","19","6","11","0","19","412","184","163","125","193","86","29","47","0","19","27","38","0","19","0","19","18","27","120","102","156","121","365","184",
"1400000US06001407300","Census Tract 4073; Alameda County; California","1021","278","666","209","504","170","162","78","136","74","26","32","0","14","0","14","0","14","124","91","82","64","29","32","13","19","0","14","0","14","0","14","0","14","0","14","83","65","46","49","102","64",
"1400000US06001407400","Census Tract 4074; Alameda County; California","1783","309","1281","252","1029","215","252","148","252","148","0","14","0","14","0","14","0","14","175","109","154","107","21","30","0","14","0","14","0","14","0","14","9","16","0","14","30","29","69","61","219","131",
"1400000US06001407500","Census Tract 4075; Alameda County; California","1524","289","1263","236","1031","199","232","138","220","138","12","18","0","14","0","14","0","14","103","97","26","49","77","87","0","14","0","14","0","14","0","14","11","18","14","22","3","6","35","56","95","82",
"1400000US06001407600","Census Tract 4076; Alameda County; California","3364","451","2549","348","2291","288","258","158","239","150","0","19","19","31","0","19","0","19","173","125","17","28","156","119","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","642","211",
"1400000US06001407700","Census Tract 4077; Alameda County; California","2265","285","1445","241","1315","222","130","87","118","82","0","14","12","21","0","14","0","14","195","114","113","97","82","60","0","14","0","14","0","14","0","14","0","14","19","22","29","41","0","14","577","161",
"1400000US06001407800","Census Tract 4078; Alameda County; California","1252","214","560","114","508","113","52","44","29","35","0","14","16","31","0","14","7","11","318","162","228","152","78","42","0","14","0","14","12","13","0","14","0","14","0","14","73","44","13","15","288","76",
"1400000US06001407900","Census Tract 4079; Alameda County; California","1633","223","1100","245","849","235","251","151","206","138","45","53","0","14","0","14","0","14","129","88","28","35","97","80","0","14","0","14","4","9","0","14","0","14","0","14","0","14","0","14","404","114",
"1400000US06001408000","Census Tract 4080; Alameda County; California","1409","282","885","256","711","221","174","113","123","80","12","11","0","14","39","46","0","14","70","43","32","33","27","31","4","7","0","14","7","12","0","14","0","14","15","22","64","45","18","20","357","125",
"1400000US06001408100","Census Tract 4081; Alameda County; California","3917","531","2103","430","2008","402","95","91","74","85","21","35","0","19","0","19","0","19","215","160","54","74","102","98","0","19","59","93","0","19","63","101","0","19","0","19","21","32","146","97","1369","363",
"1400000US06001408200","Census Tract 4082; Alameda County; California","2402","508","1678","477","1553","427","125","122","50","44","75","106","0","14","0","14","0","14","256","114","107","63","136","97","0","14","13","20","0","14","0","14","40","49","0","14","12","23","9","15","407","126",
"1400000US06001408300","Census Tract 4083; Alameda County; California","2342","413","1564","352","1387","307","177","118","151","111","0","14","0","14","26","41","0","14","187","166","104","154","83","69","0","14","0","14","0","14","0","14","0","14","0","14","0","14","109","62","482","181",
"1400000US06001408400","Census Tract 4084; Alameda County; California","2086","485","1618","419","1254","347","364","154","336","155","28","42","0","14","0","14","0","14","297","152","85","68","212","137","0","14","0","14","0","14","0","14","0","14","0","14","0","14","24","37","147","123",
"1400000US06001408500","Census Tract 4085; Alameda County; California","2556","489","2048","479","1787","410","261","196","218","188","16","24","26","41","0","19","1","2","291","138","227","116","64","78","0","19","0","19","0","19","61","57","0","19","0","19","29","43","1","2","126","91",
"1400000US06001408600","Census Tract 4086; Alameda County; California","3029","565","2141","415","2029","436","112","94","29","40","42","70","23","34","0","19","18","30","206","108","67","54","106","84","33","50","0","19","0","19","0","19","0","19","0","19","37","56","0","19","645","317",
